;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;n_articles;n_correct;comments
514;Dumoulin, Verstappen en Bertens niet bij kanshebbers;Herlings bij laatste drie Sportman van het Jaar, vier vrouwen genomineerd;Sven Kramer: Schaf Sportgala maar af!;Juryvoorzitter Van de Goor begrijpt verbazing over nominaties Sportgala;Geen Dumoulin en Bertens, wel Ter Mors en Herlings;Raemon Sluiter houdt ‘rare smaak’ over aan nominaties Sportgala;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;3;
4288;Compassie en naastenliefde zijn nog niet dood, al doet internet ons soms anders geloven;Wie te lang op sociale media zit, zou kunnen geloven dat Nederland reddeloos verloren is;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;
3665;Een unieke kans om de nieuwste e-bikes te testen op een prachtig parcours!;Wil jij de nieuwste e-bikes testen? Meld je aan voor de AD Fietstest;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;
5093;R. Kelly treedt 28 seconden op: ‘Ik moet ook geld verdienen’;R&b-zanger R. Kelly geeft optreden van 28 seconden;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;
31;PSV onder 19 houdt kans op Europese overwintering;Ajax mag even juichen, maar niet te lang;CSKA strandt in Champions League na thuisnederlaag tegen Plzen;Vlak voor de poort naar Europa’s elite overheerst de glimlach bij Ajax;PSV begint in vaste formatie aan Champions League-duel met Barcelona;Nederland neemt elfde plek op coëfficiëntenlijst weer over van Oostenrijk;Ajacied Van de Beek fit voor belangrijk Champions League-duel met AEK;Ajax-coach Ten Hag: 'Het is nog geen december en we zijn nu al door';Besiktas houdt dankzij fraaie goals Lens kans op overwintering in Europa League;PSV hoopt matige uitreeks Barcelona in CL te verlengen;Ajax hoopt tegen AEK op eerste uitwinst in CL sinds 2011;De Ligt is na overwintering in CL trots op Ajax, maar laakt gedrag fans;Nederlandse media: Historische prestatie in CL geeft Ajax trots terug;Sporting-captain Nani vindt dat trainer Keizer voor zelfvertrouwen zorgt;PSV'ers beleven 'frustrerende' avond met 23 doelpogingen tegen Barcelona;De Jong is ondanks 'zure' nederlaag tegen Barcelona trots op PSV;Pareltjes Robben zetten Bayern op koers voor winst in Ajax-groep;Atlético na zege op Monaco door in CL, ook Porto en Schalke verder;Sporting mede dankzij treffer Dost verder in EL, ook Fenerbahçe door;Van Bommel: 'Als je zoveel kansen creëert tegen Barcelona verdien je meer';Schöne: 'Niemand bij Ajax denkt dat plek in knock-outfase CL al zeker is';Matchwinner Tadic draagt zege bij AEK op aan aangevallen Ajax-fans;FC Barcelona zonder Suárez en Cillessen in CL-duel met PSV;Nederland heeft vaste CL-plek voorlopig terug;Ajax verslaat AEK en overwintert na dertien jaar weer in Champions League;Ajax begint met Wöber en Van de Beek aan CL-duel met AEK Athene;PSV na thuisnederlaag tegen Barcelona uitgeschakeld in Europa;AEK-coach Ouzounidis vindt 'compleet' Ajax beste ploeg in groep E;Mediaoverzicht: Gegroeid PSV hoeft zich niet te schamen na uitschakeling;Rafinha rest van het seizoen aan de kant;Vidal wil tegen PSV vertrouwen terugwinnen met Barcelona;Bekritiseerde Bayern-trainer Kovac wil van geen opgeven weten;‘Harde les voor PSV van gemakzuchtig Barça’;Van Bommel ziet vele blessures bij Barcelona niet als voordeel voor PSV;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34;5;
5388;Macron spreekt zich nog niet uit over extreem geweld ‘gele hesjes’;Druk op Macron neemt toe: mogelijk noodtoestand na extreem geweld;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;
226;Stevens boekt met Schalke 04 cruciale zege in degradatiestrijd;Tiental Bayern München door bizarre 5-4-zege naar halve finales DFB-Pokal;Bosz hard onderuit met Bayer Leverkusen bij Hoffenheim;Bosz wijt pijnlijk verlies Leverkusen bij Hoffenheim aan vroege wissels;Stevens nog altijd zonder contract bij Schalke 04;Eerstedivisionist Hamburger SV in halve finale Duitse beker;Dortmund profiteert dankzij goudhaantje Alcácer van puntenverlies Bayern;Stevens boekt met Schalke cruciale zege in degradatiestrijd;Borussia Dortmund als koploper naar München door gelijkspel Bayern;Bosz lijdt stevige nederlaag met Leverkusen, nipte zege Memphis met Lyon;Tiental Bayern met de schrik vrij in krankzinnig bekerduel;Dortmund profiteert dankzij goudhaantje Alcácer van misstap Bayern;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;4;
4252;Mauresmo toch niet aan de slag als coach van Frans Davis Cup-team;Mauresmo verkiest Pouille boven Davis Cup-team;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;
4495;Leeuwinnen loten gunstig voor EK-kwalificatie;Oranjevrouwen in kwalificatie voor EK 2021 tegen Rusland en Turkije;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;
4013;Definitief half jaar voorwaardelijk voor man die moeder hielp bij zelfdoding;Advocaat-generaal aan Hoge Raad: Heringa terecht veroordeeld tot celstraf voor hulp bij zelfdoding;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;
